#,動詞,Verb,,Meaning,自/他,意向,能动(V2),"て/で ( noun-で, adj-て, verb-て)",,た/だ,,,,ます,,,
,,,,,,,,Iます,IIて,normal,negative,past,past-negative,normal,negative,past,past-negative
92,(1) 吸う,suu,すう,"to smoke, to suck",,吸おう,吸える,,吸って, 吸う,吸わない,吸った,吸わなった,吸います,吸いません,吸いました,吸いませんでした
93,(1) 座る,suwaru,すわる,to sit,,,座れる,,座って, 座る,座らない,座った,座らなった,座ります,座りません,座りました,座りませんでした
94,(2) 食べる,taberu,たべる,to eat,,食べよう,食べられる,,食べて, 食べる,食べない,食べた,食べなった,食べます,食べません,食べました,食べませんでした
95,(1) 頼む,tanomu,たのむ,to ask,,頼もう,頼める,,頼んで, 頼む,頼まない,頼んだ,頼まなった,頼みます,頼みません,頼みました,頼みませんでした
96,(1) 立つ,tatsu,たつ,to stand; to stand up?,,立とう,立てる,,立って, 立つ,立たない,立った,立たなった,立ちます,立ちません,立ちました,立ちませんでした
97,(1) 飛ぶ,tobu,とぶ,to fly; to hop,,飛ぼう,飛べる,,飛んで, 飛ぶ,飛ばない,飛んだ,飛ばなった,飛びます,飛びません,飛びました,飛びませんでした
98,(1) 止まる,tomaru,とまる,to stop; to come to a halt,自,止まろう,止まれる,,止まって, 止まる,止まらない,止まった,止まらなった,止まります,止まりません,止まりました,止まりませんでした
99,(1) 撮る,toru,とる,to take a photo or record a film,他,撮ろう,撮れる,,撮って, 撮る,撮らない,撮った,撮らなった,撮ります,撮りません,撮りました,撮りませんでした
100,(1) 取る,toru,とる,to take; to pick up; to harvest; to earn; to win; to choose,,取ろう,取れる,,取って, 取る,取らない,取った,取らなった,取ります,取りません,取りました,取りませんでした
101,(2) 疲れる,tsukareru,つかれる,to get tired,,疲れよう,疲れられる,,疲れて, 疲れる,疲れない,疲れた,疲れなった,疲れます,疲れません,疲れました,疲れませんでした
102,(1) 使う,tsukau,つかう,to use,,使おう,使える,,使って, 使う,使わない,使った,使わなった,使います,使いません,使いました,使いませんでした
103,(2) つける,tsukeru,,to turn on,,つけよう,つけれる,,つけて, つける,つけない,つけた,つけなった,つけます,つけません,つけました,つけませんでした
104,(1) 着く,tsuku,つく,to arrive at,,着こう,着ける,,着いて, 着く,着かない,着いた,着かなった,着きます,着きません,着きました,着きませんでした
105,(1) 作る,tsukuru,つくる,to make,,作ろう,作れる,,作って, 作る,作らない,作った,作らなった,作ります,作りません,作りました,作りませんでした
106,(2) 勤める,tsutomeru,つとめる,to work for someone,,勤めよう,勤められる,,努めて, 勤める,勤めない,努めた,勤めなった,勤めます,勤めません,勤めました,勤めませんでした
107,(2) 生まれる,umareru,うまれる,to be born,,生まれよう,生まれられる,,生まれて, 生まれる,生まれない,生まれた,生まれなった,生まれます,生まれません,生まれました,生まれませんでした
108,(1) 売る,uru,うる,to sell,,売ろう,売れる,,売って, 売る,売らない,売った,売らなった」,売りまし,売りません,売りました,売りませんでした
109,(1) 歌う,utau,うたう,to sing,,歌おう,歌える,,歌って, 歌う,歌わない,歌った,歌わなった,歌います,歌いません,歌いました,歌いませんでした
110,(1) 分かる,wakaru,わかる,to understand; to comprehend; to grasp; to see; to get; to follow,,分かろう,分かれる,,分かって, 分かる,分からない,分かった,分からなった,分かります,分かりません,分かりました,分かりませんでした
111,(2) 忘れる,wasureru,わすれる,to forget,,忘れよう,忘れられる,,忘れて, 忘れる,忘れない,忘れた,忘れなった,忘れます,忘れません,忘れました,忘れませんでした
112,(1) 渡る,wataru,わたる,to go across,,渡ろう,渡れる,,渡って, 渡る,渡らない,渡った,渡らなった,渡ります,渡りません,渡りました,渡りませんでした
113,(1) 渡す,watasu,わたす,to hand over,,渡そう,渡せる,,渡して, 渡す,渡さない,渡した,渡さなった,渡します,渡しません,渡しました,渡しませんでした
114,(1) やる,yaru,,to do,,やろう,ヤれる,,やって, やる,やらない,やった,やらなった,やります,やりません,やりました,やりませんでした
115,(1) 休む,yasumu,やすむ,to be absent; to take a day off; to rest,,休もう,休める,,休んで, 休む,休まない,休んだ,休まなった,休みます,休みません,休みました,休みませんでした
116,(1) 呼ぶ,yobu,よぶ,"to call out, to invite",,呼ぼう,,,呼んで, 呼ぶ,呼ばない,呼んだ,呼ばなった,呼びます,呼びません,呼びました,呼びませんでした
118,(1) 読む,yomu,よむ,to read; to guess; to predict; to read (someone's thoughts),,読もう,読める,,読んで, 読む,読まない,読んだ,読まなった,読みます,読みません,読みました,読みませんでした
